CITY,,,SUB REGION,,,id_outlet,
,,,,,,76049-ARM-CEURIH-ULEE KARENG-BANDA ACEH,110241
,,,,,,76048-MAN-CEURIH-ULEE KARENG-BANDA ACEH,110242
,,,,,,76044-WEN-DOI-ULEE KARENG-BANDA ACEH,110243
,,,,,,76040-SEG-COT MESJID-LUENG BATA-BANDA ACEH,110244
,,,,,,76039-NAZ-BATOH-LUENG BATA-BANDA ACEH,110245
,,,,,,76037-MR -KOPELMA DARUSSALAM-SYIAH KUALA-BANDA ACEH,110246
,,,,,,76032-SAG-RUKOH-SYIAH KUALA-BANDA ACEH,110247
,,,,,,76030-ZIA-JEULINGKE-SYIAH KUALA-BANDA ACEH,110248
,,,,,,76028-AMY-PANTERIEK-LUENG BATA-BANDA ACEH,110249
,,,,,,76027-RR -KOTA BARU-KUTA ALAM-BANDA ACEH,110250
,,,,,,76025-SY -KOPELMA DARUSSALAM-SYIAH KUALA-BANDA ACEH,110251
,,,,,,76024-PAT-KP. LAKSANA-KUTA ALAM-BANDA ACEH,110252
,,,,,,76022-AM -RUKOH-SYIAH KUALA-BANDA ACEH,110253
,,,,,,76019-MUN-NEUSU JAYA-BAITURRAHMAN-BANDA ACEH,110254
,,,,,,76015-WAH-JEULINGKE-SYIAH KUALA-BANDA ACEH,110255
,,,,,,76014-DYT-GAMPONG PEURADA-SYIAH KUALA-BANDA ACEH,110256
,,,,,,76012-KAP-KUTA ALAM-KUTA ALAM-BANDA ACEH,110257
,,,,,,76009-RAT-RUKOH-SYIAH KUALA-BANDA ACEH,110258
,,,,,,76007-OPI-GAMPONG PEURADA-SYIAH KUALA-BANDA ACEH,110259
,,,,,,76006-ADI-KOPELMA DARUSSALAM-SYIAH KUALA-BANDA ACEH,110260
,,,,,,76003-DEL-JEULINGKE-SYIAH KUALA-BANDA ACEH,110261
,,,,,,76002-QIM-PEUNITI-BAITURRAHMAN-BANDA ACEH,110262
,,,,,,75030_R30-FAL-PADANG MATINGGI-PADANGSIDIMPUAN SELATAN-PADANGSIDIMPUAN,110263
,,,,,,75029_R29-FAM-WEK II-PADANGSIDIMPUAN UTARA-PADANGSIDIMPUAN,110264
,,,,,,75028_R1-KEN-SILANDIT-PADANGSIDIMPUAN SELATAN-PADANGSIDIMPUAN,110265
,,,,,,75027_R27-DAF-WEK II-PADANGSIDIMPUAN UTARA-PADANGSIDIMPUAN,110266
,,,,,,75026_R1-CAN-PADANG MATINGGI-PADANGSIDIMPUAN SELATAN-PADANGSIDIMPUAN,110267
,,,,,,75021_R21-IRA-SITAMIANG BARU-PADANGSIDIMPUAN SELATAN-PADANGSIDIMPUAN,110268
,,,,,,75008-AND-BATANG AYUMI JULU-PADANGSIDIMPUAN UTARA-PADANGSIDIMPUAN,110269
,,,,,,74032-NAN-MAHARATU-MARPOYAN DAMAI-PEKANBARU,110270
,,,,,,74029-CAH-KAMPUNG TENGAH-SUKAJADI-PEKANBARU,110271
,,,,,,74026-RID-SIDOMULYO TIMUR-MARPOYAN DAMAI-PEKANBARU,110272
,,,,,,74024-ALI-TANGKERANG LABUAI-BUKIT RAYA-PEKANBARU,110273
,,,,,,74022-CLI-SIMPANG TIGA-BUKIT RAYA-PEKANBARU,110274
,,,,,,74021-YEN-SIMPANG TIGA-BUKIT RAYA-PEKANBARU,110275
,,,,,,74019-RIV-PESISIR-LIMA PULUH-PEKANBARU,110276
,,,,,,74018_R6-VAN-SAIL-TENAYAN RAYA-PEKANBARU,110277
,,,,,,74016-RAF-SAIL-TENAYAN RAYA-PEKANBARU,110278
,,,,,,74014_R1-HUS-MAHARATU-MARPOYAN DAMAI-PEKANBARU,110279
,,,,,,74009-YAZ-KOTA TINGGI-PEKANBARU KOTA-PEKANBARU,110280
,,,,,,74006-ERS-AIR HITAM-PAYUNG SEKAKI-PEKANBARU,110281
,,,,,,73030-AME-ALAI PARAK KOPI-PADANG UTARA-PADANG,110282
,,,,,,73029-FAD-ALAI PARAK KOPI-PADANG UTARA-PADANG,110283
,,,,,,972097_R2-BLU-BAGUS KUNING-PLAJU-PALEMBANG,110284
,,,,,,64050-LEN-10 ILIR-ILIR TIMUR II-PALEMBANG,110285
,,,,,,64048-SAR-11 ILIR-ILIR TIMUR II-PALEMBANG,110286
,,,,,,64047-CLA-KUTO BATU-ILIR TIMUR II-PALEMBANG,110287
,,,,,,64044-BUN-SIALANG-SAKO-PALEMBANG,110288
,,,,,,64039-MAR-7 ULU-SEBERANG ULU I-PALEMBANG,110289
,,,,,,64038-DEV-16 ULU-SEBERANG ULU II-PALEMBANG,110290
,,,,,,64036-AMA-16 ULU-SEBERANG ULU II-PALEMBANG,110291
,,,,,,64035-EVA-26 ILIR-BUKIT KECIL-PALEMBANG,110292
